,Hotel,Rating,Rank
63,Hotel Liberty,0.249200417419,0
93,Ibis Styles Milano Palmanova,0.321495579603,1
94,Idea Hotel Milano San Siro,0.34977262726,2
97,IH Hotels Milano Lorenteggio,0.353441564973,3
113,Mokinba Hotels King,0.366435427308,4
87,Hotel Sunflower,0.368873614014,5
4,Admiral Hotel,0.369168765922,6
49,Hotel Boutique Duomo,0.376780464483,7
77,Hotel Pierre Milano,0.380327981785,8
146,The Hub Hotel,0.382440289059,9
114,Mokinba Hotels Montebianco,0.383775381149,10
110,Milan Marriott Hotel,0.386111196681,11
145,TH Street Duomo,0.393933678399,12
11,Atahotel Contessa Jolanda,0.394104112182,13
30,Ca Bianca Hotel Corte Del Naviglio,0.394763442625,14
112,Mokinba Hotels Baviera,0.394886113934,15
65,Hotel Lombardia,0.396406278208,16
64,Hotel Lloyd,0.396978709977,17
122,Novotel Milano Nord Ca Granda,0.399015735428,18
36,DoubleTree By Hilton Milan,0.402773702594,19
107,Meli Milano,0.404180337107,20
135,Sheraton Diana Majestic,0.40420491121,21
62,Hotel La Spezia Gruppo MiniHotel,0.404378059531,22
80,Hotel Raffaello,0.408060024209,23
60,Hotel Dieci,0.409028045206,24
27,Boscolo Milano Autograph Collection,0.410338168043,25
55,Hotel Crivi s,0.411359971208,26
99,IH Hotels Milano Watt 13,0.411809150429,27
96,IH Hotels Milano Gioia,0.412496401488,28
14,Barcel Milan,0.414802704696,29
71,Hotel Mentana,0.414875248603,30
78,Hotel Portello Gruppo Minihotel,0.415407217777,31
98,IH Hotels Milano Puccini,0.415471669186,32
156,UNA Hotel Mediterraneo,0.418221362997,33
100,Klima Hotel Milano Fiere,0.418706725174,34
61,Hotel Galileo,0.418999054972,35
150,TownHouse 12,0.420015726218,36
95,IH Hotels Milano Ambasciatori,0.422419439927,37
144,Style Hotel,0.423532604592,38
108,Mercure Milano Regency,0.424057633028,39
17,Best Western Hotel Ascot,0.426398833823,40
52,Hotel Carrobbio,0.428389376783,41
56,Hotel D Este,0.429530140206,42
109,MiHotel,0.430634939635,43
12,Atahotel Linea Uno,0.432014918044,44
50,Hotel Bristol,0.432219881401,45
137,Sina The Gray,0.433257907026,46
88,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels,0.433872825408,47
51,Hotel Capitol Milano,0.433923417307,48
82,Hotel Romana Residence,0.434748189765,49
46,Holiday Inn Milan Garibaldi Station,0.434975956668,50
103,LHP Hotel Napoleon,0.435644200062,51
20,Best Western Hotel Major,0.435646892825,52
90,Hotel Vittoria,0.435675783567,53
3,ADI Hotel Poliziano Fiera,0.43653851812,54
0,AC Hotel Milano a Marriott Lifestyle Hotel,0.437087070318,55
15,Best Western Antares Hotel Concorde,0.439498516633,56
73,Hotel Mercure Milano Solari,0.439987541659,57
85,Hotel Silver,0.440027126797,58
92,Hotel Wagner,0.440368949168,59
102,Leonardo Hotel Milan City Center,0.441265562172,60
153,TownHouse Galleria,0.442748248078,61
118,NH Milano Palazzo Moscova,0.446357165806,62
121,Novotel Milano Linate Aeroporto,0.447041902085,63
151,TownHouse 33,0.447082237291,64
18,Best Western Hotel Astoria,0.447861221766,65
6,Antares Hotel Accademia,0.449010328646,66
152,TownHouse Duomo,0.449525483492,67
81,Hotel Regina,0.451848681548,68
45,Hilton Milan,0.452567425245,69
39,Four Points Sheraton Milan Center,0.452599351484,70
116,NH Milano Grand Hotel Verdi,0.453631513946,71
126,Palazzo Segreti,0.456322695061,72
130,Radisson Blu Hotel Milan,0.457866419586,73
148,The Westin Palace,0.458430998933,74
157,UNA Hotel Scandinavia,0.458512614278,75
21,Best Western Hotel Mirage,0.458631971463,76
34,Colombia,0.461521550621,77
40,Four Seasons Hotel Milano,0.462390190333,78
69,Hotel Marconi,0.463241466853,79
89,Hotel Tocq,0.463369684165,80
139,Starhotels Business Palace,0.463484266591,81
22,Best Western Hotel St George,0.464846883805,82
129,Qualys Hotel Nasco,0.465802165413,83
67,Hotel Manin,0.465846099992,84
143,STRAF a Member of Design Hotels ,0.466403470088,85
43,Grand Visconti Palace,0.466651954866,86
70,Hotel Mediolanum,0.466919170103,87
2,ADI Doria Grand Hotel,0.468633729168,88
136,Sina De La Ville,0.46976822567,89
91,Hotel VIU Milan,0.470202945218,90
128,Petit Palais Hotel De Charme,0.471236517767,91
47,Hotel Auriga,0.471283708755,92
7,Antares Hotel Rubens,0.471906324982,93
72,Hotel Mercure Milano Centro,0.473576116404,94
35,Crowne Plaza Milan City,0.473581429965,95
124,NYX Milan,0.473680292443,96
117,NH Milano Machiavelli,0.475138909792,97
66,Hotel Magna Pars Small Luxury Hotels of the World,0.477302749034,98
19,Best Western Hotel City,0.477722286411,99
83,Hotel Sanpi Milano,0.480564960428,100
32,Carlyle Brera Hotel,0.481432910121,101
5,Andreola Central Hotel,0.482346589252,102
13,Baglioni Hotel Carlton The Leading Hotels of the World,0.482761936274,103
131,Ramada Plaza Milano,0.483197806803,104
142,Starhotels Tourist,0.484495355133,105
76,Hotel Mozart,0.485002258458,106
111,Milan Suite Hotel,0.486216261519,107
42,Grand Hotel et de Milan,0.486531106301,108
123,Nu Hotel,0.488077367421,109
1,Acca Palace,0.489220959686,110
29,Bulgari Hotel Milano,0.489701607504,111
105,Mandarin Oriental Milan,0.491271120758,112
54,Hotel Clerici,0.492419456815,113
16,Best Western Atlantic Hotel,0.493922063754,114
127,Park Hyatt Milano,0.494828555145,115
120,Nhow Milan,0.49735132319,116
44,Hilton Garden Inn Milan North,0.497900314061,117
159,Uptown Palace,0.500319085345,118
134,Senato Hotel Milano,0.500393837802,119
24,Best Western Plus Hotel Felice Casati,0.502287201011,120
8,Antica Locanda Dei Mercanti,0.50244415663,121
160,Windsor Hotel Milano,0.503959606846,122
106,ME Milan Il Duca,0.506987320046,123
9,Armani Hotel Milano,0.50796851156,124
31,Camperio House Suites Apartments,0.511195603347,125
141,Starhotels Ritz,0.511736367039,126
